time,temperature
2022-01-17 00:00:00,0.56
2022-01-17 01:00:00,0.29
2022-01-17 02:00:00,-0.03
2022-01-17 03:00:00,-0.41
2022-01-17 04:00:00,-0.79
2022-01-17 05:00:00,-1.25
2022-01-17 06:00:00,-1.62
2022-01-17 07:00:00,-1.8
2022-01-17 08:00:00,-1.41
2022-01-17 09:00:00,-0.43
2022-01-17 10:00:00,0.51
2022-01-17 11:00:00,1.47
2022-01-17 12:00:00,2.44
2022-01-17 13:00:00,3.19
2022-01-17 14:00:00,3.64
2022-01-17 15:00:00,3.82
2022-01-17 16:00:00,3.88
2022-01-17 17:00:00,3.82
2022-01-17 18:00:00,3.7
2022-01-17 19:00:00,3.46
2022-01-17 20:00:00,3.21
2022-01-17 21:00:00,2.7
2022-01-17 22:00:00,1.99
2022-01-17 23:00:00,1.03
2022-01-18 00:00:00,0.18
2022-01-18 01:00:00,-0.59
2022-01-18 02:00:00,-1.15
2022-01-18 03:00:00,-1.65
2022-01-18 04:00:00,-2.08
2022-01-18 05:00:00,-2.54
2022-01-18 06:00:00,-3.04
2022-01-18 07:00:00,-3.54
2022-01-18 08:00:00,-3.7
2022-01-18 09:00:00,-3.35
2022-01-18 10:00:00,-2.37
2022-01-18 11:00:00,-1.17
2022-01-18 12:00:00,0.02
2022-01-18 13:00:00,0.97
2022-01-18 14:00:00,1.51
2022-01-18 15:00:00,1.58
2022-01-18 16:00:00,1.23
2022-01-18 17:00:00,0.43
2022-01-18 18:00:00,-0.47
2022-01-18 19:00:00,-1.37
2022-01-18 20:00:00,-1.91
2022-01-18 21:00:00,-2.34
2022-01-18 22:00:00,-2.64
2022-01-18 23:00:00,-2.98
2022-01-19 00:00:00,-3.31
2022-01-19 01:00:00,-3.68
2022-01-19 02:00:00,-4.02
2022-01-19 03:00:00,-4.36
2022-01-19 04:00:00,-4.72
2022-01-19 05:00:00,-5.08
2022-01-19 06:00:00,-5.29
2022-01-19 07:00:00,-5.38
2022-01-19 08:00:00,-4.88
2022-01-19 09:00:00,-3.65
2022-01-19 10:00:00,-1.65
2022-01-19 11:00:00,0.44
2022-01-19 12:00:00,2.2
2022-01-19 13:00:00,3.46
2022-01-19 14:00:00,4.14
2022-01-19 15:00:00,4.23
2022-01-19 16:00:00,3.89
2022-01-19 17:00:00,3.35
2022-01-19 18:00:00,2.61
2022-01-19 19:00:00,1.75
2022-01-19 20:00:00,0.94
2022-01-19 21:00:00,0.31
2022-01-19 22:00:00,-0.2
2022-01-19 23:00:00,-0.7
2022-01-20 00:00:00,-1.16
2022-01-20 01:00:00,-1.61
2022-01-20 02:00:00,-2.05
2022-01-20 03:00:00,-2.6
2022-01-20 04:00:00,-3.27
2022-01-20 05:00:00,-3.96
2022-01-20 06:00:00,-4.47
2022-01-20 07:00:00,-4.85
2022-01-20 08:00:00,-5.01
2022-01-20 09:00:00,-4.56
2022-01-20 10:00:00,-3.32
2022-01-20 11:00:00,-1.57
2022-01-20 12:00:00,0.11
2022-01-20 13:00:00,1.48
2022-01-20 14:00:00,2.4
2022-01-20 15:00:00,2.76
2022-01-20 16:00:00,2.62
2022-01-20 17:00:00,1.94
2022-01-20 18:00:00,1.05
2022-01-20 19:00:00,0.04
2022-01-20 20:00:00,-0.7
2022-01-20 21:00:00,-1.37
2022-01-20 22:00:00,-1.89
2022-01-20 23:00:00,-2.37
2022-01-21 00:00:00,-2.76
2022-01-21 01:00:00,-3.12
2022-01-21 02:00:00,-3.42
2022-01-21 03:00:00,-3.71
2022-01-21 04:00:00,-3.99
2022-01-21 05:00:00,-4.25
2022-01-21 06:00:00,-4.38
2022-01-21 07:00:00,-4.45
2022-01-21 08:00:00,-3.79
2022-01-21 09:00:00,-2.67
2022-01-21 10:00:00,-0.83
2022-01-21 11:00:00,0.89
2022-01-21 12:00:00,2.59
2022-01-21 13:00:00,3.89
2022-01-21 14:00:00,4.69
2022-01-21 15:00:00,4.94
2022-01-21 16:00:00,4.83
2022-01-21 17:00:00,4.42
2022-01-21 18:00:00,3.94
2022-01-21 19:00:00,3.35
2022-01-21 20:00:00,2.93
2022-01-21 21:00:00,2.58
2022-01-21 22:00:00,2.47
2022-01-21 23:00:00,2.41
2022-01-22 00:00:00,2.38
2022-01-22 01:00:00,2.28
2022-01-22 02:00:00,2.19
2022-01-22 03:00:00,2.11
2022-01-22 04:00:00,2.09
2022-01-22 05:00:00,2.07
2022-01-22 06:00:00,2.16
2022-01-22 07:00:00,2.18
2022-01-22 08:00:00,2.42
2022-01-22 09:00:00,2.88
2022-01-22 10:00:00,3.85
2022-01-22 11:00:00,4.98
2022-01-22 12:00:00,6.15
2022-01-22 13:00:00,7.1
2022-01-22 14:00:00,7.81
2022-01-22 15:00:00,8.14
2022-01-22 16:00:00,8.11
2022-01-22 17:00:00,7.8
2022-01-22 18:00:00,7.41
2022-01-22 19:00:00,7.04
2022-01-22 20:00:00,6.78
2022-01-22 21:00:00,6.51
2022-01-22 22:00:00,6.29
2022-01-22 23:00:00,6.01
2022-01-23 00:00:00,5.76
2022-01-23 01:00:00,5.51
2022-01-23 02:00:00,5.31
2022-01-23 03:00:00,5.08
2022-01-23 04:00:00,4.77
2022-01-23 05:00:00,4.39
2022-01-23 06:00:00,4.05
2022-01-23 07:00:00,3.67
2022-01-23 08:00:00,3.46
2022-01-23 09:00:00,3.41
2022-01-23 10:00:00,3.69
2022-01-23 11:00:00,4.03
2022-01-23 12:00:00,4.44
2022-01-23 13:00:00,4.82
2022-01-23 14:00:00,5.09
2022-01-23 15:00:00,5.24
2022-01-23 16:00:00,5.24
2022-01-23 17:00:00,5.13
2022-01-23 18:00:00,4.92
2022-01-23 19:00:00,4.64
2022-01-23 20:00:00,4.39
2022-01-23 21:00:00,4.09
2022-01-23 22:00:00,3.85
2022-01-23 23:00:00,3.56
2022-01-24 00:00:00,3.28
2022-01-24 01:00:00,2.97
2022-01-24 02:00:00,2.71
2022-01-24 03:00:00,2.43
2022-01-24 04:00:00,2.13
2022-01-24 05:00:00,1.85
2022-01-24 06:00:00,1.77
2022-01-24 07:00:00,1.8
2022-01-24 08:00:00,2.05
2022-01-24 09:00:00,2.46
2022-01-24 10:00:00,3.3
2022-01-24 11:00:00,4.38
2022-01-24 12:00:00,5.53
2022-01-24 13:00:00,6.46
2022-01-24 14:00:00,6.96
2022-01-24 15:00:00,7.11
2022-01-24 16:00:00,7.02
2022-01-24 17:00:00,6.68
2022-01-24 18:00:00,6.21
2022-01-24 19:00:00,5.62
2022-01-24 20:00:00,5.17
2022-01-24 21:00:00,4.77
