time,temperature
2022-01-19 00:00:00,-2.96
2022-01-19 01:00:00,-3.35
2022-01-19 02:00:00,-3.76
2022-01-19 03:00:00,-4.19
2022-01-19 04:00:00,-4.62
2022-01-19 05:00:00,-5.03
2022-01-19 06:00:00,-5.2
2022-01-19 07:00:00,-4.95
2022-01-19 08:00:00,-4.13
2022-01-19 09:00:00,-2.71
2022-01-19 10:00:00,-1.04
2022-01-19 11:00:00,0.6
2022-01-19 12:00:00,2.15
2022-01-19 13:00:00,3.2
2022-01-19 14:00:00,3.82
2022-01-19 15:00:00,3.97
2022-01-19 16:00:00,3.83
2022-01-19 17:00:00,3.47
2022-01-19 18:00:00,3.08
2022-01-19 19:00:00,2.56
2022-01-19 20:00:00,2.09
2022-01-19 21:00:00,1.54
2022-01-19 22:00:00,1.13
2022-01-19 23:00:00,0.64
2022-01-20 00:00:00,0.17
2022-01-20 01:00:00,-0.48
2022-01-20 02:00:00,-1.09
2022-01-20 03:00:00,-1.7
2022-01-20 04:00:00,-2.31
2022-01-20 05:00:00,-2.87
2022-01-20 06:00:00,-3.43
2022-01-20 07:00:00,-3.89
2022-01-20 08:00:00,-4.0
2022-01-20 09:00:00,-3.56
2022-01-20 10:00:00,-2.48
2022-01-20 11:00:00,-1.21
2022-01-20 12:00:00,0.05
2022-01-20 13:00:00,1.07
2022-01-20 14:00:00,1.81
2022-01-20 15:00:00,2.1
2022-01-20 16:00:00,1.99
2022-01-20 17:00:00,1.43
2022-01-20 18:00:00,0.69
2022-01-20 19:00:00,-0.22
2022-01-20 20:00:00,-0.95
2022-01-20 21:00:00,-1.63
2022-01-20 22:00:00,-2.08
2022-01-20 23:00:00,-2.49
2022-01-21 00:00:00,-2.79
2022-01-21 01:00:00,-3.1
2022-01-21 02:00:00,-3.39
2022-01-21 03:00:00,-3.69
2022-01-21 04:00:00,-4.04
2022-01-21 05:00:00,-4.37
2022-01-21 06:00:00,-4.61
2022-01-21 07:00:00,-4.75
2022-01-21 08:00:00,-4.22
2022-01-21 09:00:00,-2.97
2022-01-21 10:00:00,-0.94
2022-01-21 11:00:00,1.04
2022-01-21 12:00:00,2.76
2022-01-21 13:00:00,3.99
2022-01-21 14:00:00,4.79
2022-01-21 15:00:00,5.08
2022-01-21 16:00:00,5.0
2022-01-21 17:00:00,4.54
2022-01-21 18:00:00,3.89
2022-01-21 19:00:00,3.1
2022-01-21 20:00:00,2.41
2022-01-21 21:00:00,1.69
2022-01-21 22:00:00,1.11
2022-01-21 23:00:00,0.69
2022-01-22 00:00:00,0.57
2022-01-22 01:00:00,0.65
2022-01-22 02:00:00,0.8
2022-01-22 03:00:00,0.96
2022-01-22 04:00:00,1.07
2022-01-22 05:00:00,1.19
2022-01-22 06:00:00,1.4
2022-01-22 07:00:00,1.68
2022-01-22 08:00:00,2.12
2022-01-22 09:00:00,2.91
2022-01-22 10:00:00,4.12
2022-01-22 11:00:00,5.43
2022-01-22 12:00:00,6.54
